"Date & Time","use [kWh]","gen [kWh]","Grid [kWh]","PV Array 1 [kWh]","PV Array 1+ [kWh]","PV  Array 2 [kWh]","PV  Array 2+ [kWh]","Fans + Halls? [kWh]","East front hall [kWh]","West front hall [kWh]","Recept East [kWh]","Recept West [kWh]","12kBtu Air Conditioning [kWh]"
2015-08-02 20:11:00,-78171562.724771953,-78172424.561481106,861.836709167,3818.323325278,3878.729006389,-78176242.884806383,10292.592350556,1610.938726667,529.497396389,176.858326944,8.713536111,66.278368611,860.881698333
2015-08-02 20:10:00,-78171562.729887223,-78172424.561330271,861.831443056,3818.323407222,3878.729006389,-78176242.884737492,10292.592350556,1610.937196944,529.497396944,176.858325278,8.713536111,66.278368333,860.881695278
2015-08-02 20:09:00,-78171562.735001671,-78172424.561179996,861.826178333,3818.323488889,3878.729006389,-78176242.884668887,10292.592350556,1610.935662778,529.497397222,176.858323611,8.713535833,66.278368333,860.881691944
2015-08-02 20:08:00,-78171562.740111375,-78172424.561030269,861.820918889,3818.323570000,3878.729006389,-78176242.884600270,10292.592350556,1610.934134444,529.497397778,176.858321944,8.713535833,66.278368333,860.881688889
2015-08-02 20:07:00,-78171562.745215547,-78172424.560880554,861.815665000,3818.323651111,3878.729006389,-78176242.884531665,10292.592350556,1610.932613611,529.497398333,176.858320278,8.713535833,66.278368056,860.881685833
2015-08-02 20:06:00,-78171562.750315547,-78172424.560730278,861.810414722,3818.323732500,3878.729006389,-78176242.884462774,10292.592350556,1610.931095000,529.497398611,176.858318333,8.713535556,66.278368056,860.881682778
2015-08-02 20:05:00,-78171562.755417216,-78172424.560579717,861.805162500,3818.323814444,3878.729006389,-78176242.884394169,10292.592350556,1610.929576111,529.497399167,176.858316667,8.713535556,66.278368056,860.881679444
2015-08-02 20:04:00,-78171562.760547769,-78172424.560429156,861.799881389,3818.323896111,3878.729006389,-78176242.884325266,10292.592350556,1610.928055833,529.497399444,176.858315000,8.713535278,66.278368056,860.881676389
2015-08-02 20:03:00,-78171562.765688610,-78172424.560278881,861.794590278,3818.323977778,3878.729006389,-78176242.884256661,10292.592350556,1610.926534722,529.497399722,176.858313056,8.713535278,66.278367778,860.881673333
2015-08-02 20:02:00,-78171562.770834708,-78172424.560128880,861.789294167,3818.324059167,3878.729006389,-78176242.884188056,10292.592350556,1610.925012222,529.497400278,176.858311389,8.713535278,66.278367778,860.881670278
2015-08-02 20:01:00,-78171562.775981379,-78172424.559978890,861.783997500,3818.324140556,3878.729006389,-78176242.884119439,10292.592350556,1610.923488889,529.497400556,176.858309722,8.713535000,66.278367778,860.881666944
2015-08-02 20:00:00,-78171562.781135273,-78172424.559829164,861.778693889,3818.324221667,3878.729006389,-78176242.884050834,10292.592350556,1610.921961944,529.497401111,176.858307778,8.713535000,66.278367778,860.881663889
