"Date & Time","use [kWh]","gen [kWh]","Grid [kWh]","PV Array 1 [kWh]","PV Array 1+ [kWh]","PV  Array 2 [kWh]","PV  Array 2+ [kWh]","Fans + Halls? [kWh]","East front hall [kWh]","West front hall [kWh]","Recept East [kWh]","Recept West [kWh]","12kBtu Air Conditioning [kWh]"
2015-08-05 00:31:00,-78171537.503140271,-78172391.880970550,854.377830278,3826.616925833,3887.169417778,-78176218.497896385,10314.887694444,1615.827572778,529.531220278,177.212822778,8.713999722,66.278762778,861.619215278
2015-08-05 00:30:00,-78171537.508749723,-78172391.880811667,854.372061944,3826.617015278,3887.169417778,-78176218.497826934,10314.887694444,1615.826000278,529.531080278,177.212686389,8.713999444,66.278762778,861.619214167
2015-08-05 00:29:00,-78171537.514134169,-78172391.880654156,854.366520000,3826.617103056,3887.169417778,-78176218.497757208,10314.887694444,1615.824430278,529.530940278,177.212550000,8.713999444,66.278762500,861.619212778
2015-08-05 00:28:00,-78171537.519500554,-78172391.880498338,854.360997778,3826.617189722,3887.169417778,-78176218.497688055,10314.887694444,1615.822861667,529.530800556,177.212414167,8.713999167,66.278762500,861.619211667
2015-08-05 00:27:00,-78171537.524895000,-78172391.880342221,854.355447222,3826.617276667,3887.169417778,-78176218.497618890,10314.887694444,1615.821290000,529.530660833,177.212277778,8.713999167,66.278762500,861.619210278
2015-08-05 00:26:00,-78171537.530338597,-78172391.880184710,854.349846111,3826.617364722,3887.169417778,-78176218.497549438,10314.887694444,1615.819709167,529.530520556,177.212140556,8.713998889,66.278762500,861.619208889
2015-08-05 00:25:00,-78171537.535776377,-78172391.880027771,854.344251389,3826.617452222,3887.169417778,-78176218.497479987,10314.887694444,1615.818126944,529.530380000,177.212003056,8.713998611,66.278762222,861.619207778
2015-08-05 00:24:00,-78171537.541216385,-78172391.879870832,854.338654444,3826.617539722,3887.169417778,-78176218.497410548,10314.887694444,1615.816543333,529.530239444,177.211865833,8.713998611,66.278762222,861.619206389
2015-08-05 00:23:00,-78171537.546651661,-78172391.879714155,854.333062500,3826.617627222,3887.169417778,-78176218.497341383,10314.887694444,1615.814960833,529.530098889,177.211728333,8.713998333,66.278762222,861.619205278
2015-08-05 00:22:00,-78171537.552085543,-78172391.879557490,854.327471944,3826.617714722,3887.169417778,-78176218.497272229,10314.887694444,1615.813377778,529.529958889,177.211590833,8.713998333,66.278762222,861.619203889
2015-08-05 00:21:00,-78171537.557531941,-78172391.879400551,854.321868611,3826.617802222,3887.169417778,-78176218.497202766,10314.887694444,1615.811793611,529.529818611,177.211453056,8.713998056,66.278761944,861.619202778
2015-08-05 00:20:00,-78171537.562973607,-78172391.879243612,854.316270000,3826.617890000,3887.169417778,-78176218.497133613,10314.887694444,1615.810208611,529.529678611,177.211315556,8.713998056,66.278761944,861.619201667
2015-08-05 00:19:00,-78171537.568414712,-78172391.879086947,854.310672222,3826.617977222,3887.169417778,-78176218.497064161,10314.887694444,1615.808621944,529.529538333,177.211177778,8.713997778,66.278761944,861.619200278
2015-08-05 00:18:00,-78171537.573860550,-78172391.878929985,854.305069444,3826.618064722,3887.169417778,-78176218.496994722,10314.887694444,1615.807036389,529.529398056,177.211040000,8.713997778,66.278761944,861.619199167
2015-08-05 00:17:00,-78171537.579314995,-78172391.878774428,854.299459444,3826.618151111,3887.169417778,-78176218.496925545,10314.887694444,1615.805450556,529.529257778,177.210902500,8.713997500,66.278761667,861.619197778
2015-08-05 00:16:00,-78171537.584721100,-78172391.878618336,854.293897222,3826.618237778,3887.169417778,-78176218.496856105,10314.887694444,1615.803865556,529.529117778,177.210765000,8.713997500,66.278761667,861.619196667
2015-08-05 00:15:00,-78171537.590123320,-78172391.878461945,854.288338611,3826.618325000,3887.169417778,-78176218.496786940,10314.887694444,1615.802280278,529.528978333,177.210627500,8.713997222,66.278761667,861.619195556
2015-08-05 00:14:00,-78171537.595522499,-78172391.878305268,854.282782778,3826.618411944,3887.169417778,-78176218.496717215,10314.887694444,1615.800697778,529.528838611,177.210490278,8.713997222,66.278761389,861.619194167
2015-08-05 00:13:00,-78171537.600919437,-78172391.878148603,854.277229167,3826.618499167,3887.169417778,-78176218.496647775,10314.887694444,1615.799117778,529.528698611,177.210353333,8.713996944,66.278761389,861.619193056
2015-08-05 00:12:00,-78171537.606317496,-78172391.877991664,854.271674167,3826.618586667,3887.169417778,-78176218.496578324,10314.887694444,1615.797536111,529.528559167,177.210216111,8.713996944,66.278761389,861.619191944
